uri,label,wkt
http://cgi.di.uoa.gr/witcher/resource/Blood_Ties,Blood Ties,POINT (576.616439045915 -447.3125656362507)
http://cgi.di.uoa.gr/witcher/resource/Brave_Fools_Die_Young,Brave Fools Die Young,POINT (339.88754063341554 -391.63095466424187)
http://cgi.di.uoa.gr/witcher/resource/Bridge_to_Kaer_Trolde,Bridge to Kaer Trolde,POINT (307.5068780039794 -267.57801391324364)
http://cgi.di.uoa.gr/witcher/resource/Call_of_the_Wild,Call of the Wild,POINT (260.35800775638825 -384.4109422395806)
http://cgi.di.uoa.gr/witcher/resource/Caravan_Attack,Caravan Attack,POINT (456.0641072295682 -306.8505057382951)
http://cgi.di.uoa.gr/witcher/resource/Casteldaccia_Abandoned_Estate,Casteldaccia Abandoned Estate,POINT (388.56792870807465 -471.2698795908086)
http://cgi.di.uoa.gr/witcher/resource/Ciri_s_Room,Ciri's Room,POINT (337.80905215382336 -329.49509016109636)
http://cgi.di.uoa.gr/witcher/resource/Crime_and_Punishment,Crime and Punishment,POINT (358.92211934125976 -243.94888234162494)
http://cgi.di.uoa.gr/witcher/resource/Death_By_Fire,Death By Fire,POINT (436.8107402607143 -249.74677110688322)
http://cgi.di.uoa.gr/witcher/resource/Deserter_Gold,Deserter Gold,POINT (347.76391802976485 -312.7577886311998)
http://cgi.di.uoa.gr/witcher/resource/Dirty_Funds,Dirty Funds,POINT (338.4654169368525 -320.3059834388002)
http://cgi.di.uoa.gr/witcher/resource/Dowry,Dowry,POINT (486.36628137941216 -218.6788388553105)
http://cgi.di.uoa.gr/witcher/resource/Drunken_Rabble,Drunken Rabble,POINT (378.50366870162827 -148.01023239574715)
http://cgi.di.uoa.gr/witcher/resource/Dun_Tynne_Hillside,Dun Tynne Hillside,POINT (366.79849673760907 -403.2267321947584)
http://cgi.di.uoa.gr/witcher/resource/Farting_Trolls,Farting Trolls,POINT (280.3771336387761 -432.43496427634267)
http://cgi.di.uoa.gr/witcher/resource/For_Fame_and_Glory,For Fame and Glory,POINT (608.7783134143414 -340.65329118102744)
http://cgi.di.uoa.gr/witcher/resource/Ford,Ford,POINT (350.71755955339586 -351.48330981801934)
http://cgi.di.uoa.gr/witcher/resource/Free_Spirit,Free Spirit,POINT (346.45118846370667 -187.392118348445)
http://cgi.di.uoa.gr/witcher/resource/Greenhouse_Effect,Greenhouse Effect,POINT (341.5284525909883 -391.63095466424187)
http://cgi.di.uoa.gr/witcher/resource/Grotto,Grotto,POINT (446.87500026716066 -430.3564758510614)
http://cgi.di.uoa.gr/witcher/resource/Grotto,Grotto,POINT (530.5615101033723 -321.83750122584956)
http://cgi.di.uoa.gr/witcher/resource/Gull_Point,Gull Point,POINT (170.2172442203903 -439.5455825733576)
http://cgi.di.uoa.gr/witcher/resource/Harassing_a_Troll,Harassing a Troll,POINT (334.3084399776681 -262.8740664244492)
http://cgi.di.uoa.gr/witcher/resource/Harbor_Gate,Harbor Gate,POINT (279.8301629862519 -489.8668812906937)
http://cgi.di.uoa.gr/witcher/resource/Harpy_Feeding_Ground,Harpy Feeding Ground,POINT (297.2238297365233 -260.13921323328964)
http://cgi.di.uoa.gr/witcher/resource/Hazardous_Goods,Hazardous Goods,POINT (437.2483167827337 -333.105096373427)
http://cgi.di.uoa.gr/witcher/resource/Hidden_from_the_World,Hidden from the World,POINT (499.60297117049925 -318.00870675822614)
http://cgi.di.uoa.gr/witcher/resource/Highway_Robbery,Highway Robbery,POINT (351.70210672793957 -364.82939339087807)
http://cgi.di.uoa.gr/witcher/resource/Highwayman_s_Cache,Highwayman's Cache,POINT (375.4406330474924 -372.04940581553933)
http://cgi.di.uoa.gr/witcher/resource/Iron_Maiden,Iron Maiden,POINT (525.5293801001492 -555.6127520061698)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_HighlightedByMedalionFX_Pin_67p0_11p0,HighlightedByMedalionFX,POINT (325.6663036677848 -347.9826977333351)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_Morhen_Mine_dam_Pin_m131p0_m248p0,Morhen Mine dam,POINT (304.0062658278241 -376.3157767937482)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_Outpost_ruins_Pin_m85p0_825p0,Outpost ruins,POINT (309.0383958310473 -258.9358778291794)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_The_Lake_House_Pin_26p0_284p0,The Lake House,POINT (321.18114431708585 -318.11810088587254)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_The_Morhen_Eye_Pin_m311p0_m20p0,The Morhen Eye,POINT (284.31532233695077 -351.37391569037294)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_The_Witcher_s_Forge_Pin_59p0_22p0,The Witcher's Forge,POINT (324.791150623746 -346.77936232922485)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_01_Pin_145p0_378p0,kaer_morhen_cave_entrance_01,POINT (334.19904584716323 -307.83505288711257)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_02_Pin_m196p0_m283p0,kaer_morhen_cave_entrance_02,POINT (296.89564734500874 -380.14457126137165)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_03_Pin_382p0_m47p0,kaer_morhen_cave_entrance_03,POINT (360.1254547768131 -354.3275571368253)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_04_Pin_m323p0_177p0,kaer_morhen_cave_entrance_04,POINT (283.0025927708926 -329.8232725440355)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_05_Pin_46p0_1000p0,kaer_morhen_cave_entrance_05,POINT (323.3690269271829 -239.79190549106238)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_06_Pin_97p0_1073p0,kaer_morhen_cave_entrance_06,POINT (328.94812758293034 -231.80613417287645)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_07_Pin_121p0_m458p0,kaer_morhen_cave_entrance_07,POINT (331.5735867150468 -399.28854359948866)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_08_Pin_150p0_1126p0,kaer_morhen_cave_entrance_08,POINT (334.7460164996875 -226.00824540761815)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_09_Pin_52p0_107p0,kaer_morhen_cave_entrance_09,POINT (324.02539171021203 -337.48086147928234)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_kaer_morhen_cave_entrance_10_Pin_m54p0_m217p0,kaer_morhen_cave_entrance_10,POINT (312.4296138766977 -372.9245588367104)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_km_mp_pop_igniii_Pin_61p0_969p0,km_mp_pop_igniii,POINT (325.0099388847557 -243.18312344810028)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_km_poi_leshy_Pin_m170p0_612p0,km_poi_leshy,POINT (299.7398947381349 -282.23682701785896)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_km_poi_wyvern_Pin_175p0_873p0,km_poi_wyvern,POINT (337.48086976230877 -253.68495970215304)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_th1009_mp_upgrade_1b_a2_Pin_153p0_m467p0,th1009_mp_upgrade_1b_a2,POINT (335.07419889120206 -400.2730907483061)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_th1009_mp_upgrade_1b_b2_Pin_m71p0_837p0,th1009_mp_upgrade_1b_b2,POINT (310.56991365811524 -257.6231482974228)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_th1009_mp_upgrade_1b_c2_Pin_84p0_408p0,th1009_mp_upgrade_1b_c2,POINT (327.5260038863673 -304.55322905772107)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_th1009_mp_upgrade_2b_a2_Pin_m226p0_m268p0,th1009_mp_upgrade_2b_a2,POINT (293.6138234298632 -378.50365934667593)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_th1009_mp_upgrade_2b_b2_Pin_m409p0_149p0,th1009_mp_upgrade_2b_b2,POINT (273.59469754747533 -332.88630811813425)
http://cgi.di.uoa.gr/witcher/resource/Kaer_Morhen_th1009_mp_upgrade_2b_c2_Pin_438p0_m88p0,th1009_mp_upgrade_2b_c2,POINT (366.25152608508483 -358.812716370327)
http://cgi.di.uoa.gr/witcher/resource/Karmic_Justice,Karmic Justice,POINT (412.634637419142 -148.8853854169182)
http://cgi.di.uoa.gr/witcher/resource/Lebioda_s_Gate,Lebioda's Gate,POINT (269.5471147187958 -523.2320902228405)
http://cgi.di.uoa.gr/witcher/resource/Lost_Goods,Lost Goods,POINT (521.2630090104599 -286.61259212371425)
http://cgi.di.uoa.gr/witcher/resource/Love_s_Cruel_Snares,Love's Cruel Snares,POINT (253.6849657955923 -386.38003653721546)
http://cgi.di.uoa.gr/witcher/resource/Out_On_Your_Arse,Out On Your Arse!,POINT (381.6760984862689 -154.35509179923736)
http://cgi.di.uoa.gr/witcher/resource/Out_of_the_Frying_Pan_into_the_Fire,"Out of the Frying Pan, into the Fire",POINT (472.3638326747911 -331.2453962034385)
http://cgi.di.uoa.gr/witcher/resource/Ruins_Hidden_Treasure_You_Know,"Ruins, Hidden Treasure, You Know...",POINT (136.41445789439112 -428.3873815534265)
http://cgi.di.uoa.gr/witcher/resource/Siren_s_Call,Siren's Call,POINT (274.03227406949475 -371.0648586667219)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Abandoned_Sawmill_Pin_857p0_161p0,Abandoned Sawmill,POINT (412.08766676661776 -331.57357858637766)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Abandoned_Village_Pin_m2111p0_m673p0,Abandoned Village,POINT (87.40588742821748 -422.80828104346097)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Abandoned_sawmill_Pin_845p0_148p0,Abandoned sawmill,POINT (410.7749372005595 -332.99570224578065)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Armorer_Pin_m617p0_m202p0,Armorer,POINT (250.84071840246614 -371.28364692201467)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Armorer_in_Kaer_Muire_Pin_m92p0_m983p0,Armorer in Kaer Muire,POINT (308.27263691751335 -456.7204606138397)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Armorer_in_Larvik_Pin_2741p0_68p0,Armorer in Larvik,POINT (618.1862086377587 -341.74723245749124)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Armorer_in_Urialla_Harbor_Pin_1507p0_1875p0,Armorer in Urialla Harbor,POINT (483.19385159477144 -144.07204380047736)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_Pin_m615p0_m200p0,Blacksmith,POINT (251.05950666347584 -371.0648586667219)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Arinbjorn_Pin_m629p0_m192p0,Blacksmith in Arinbjorn,POINT (249.52798883640793 -370.1897056455508)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Fayrlund_Pin_26p0_m135p0,Blacksmith in Fayrlund,POINT (321.18114431708585 -363.954240369707)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Fyresdal_Pin_369p0_m751p0,Blacksmith in Fyresdal,POINT (358.70333108025005 -431.3410229998789)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Harviken_Pin_1738p0_m1929p0,Blacksmith in Harviken,POINT (508.4638957413922 -560.2073053673179)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Kaer_Muire_Pin_m98p0_m962p0,Blacksmith in Kaer Muire,POINT (307.61627213448423 -454.42318393326565)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Larvik_Pin_2828p0_79p0,Blacksmith in Larvik,POINT (627.7034979916807 -340.54389705338104)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Svorlag_Pin_m1634p0_1431p0,Blacksmith in Svorlag,POINT (139.5868876790318 -192.64303647547138)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Blacksmith_in_Urialla_Harbor_Pin_1482p0_1924p0,Blacksmith in Urialla Harbor,POINT (480.45899833215014 -138.71173154580458)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Crossroads_Pin_71p0_251p0,Crossroads,POINT (326.1038801898042 -321.72810709820317)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Finders_Keepers_Pin_950p0_950p0,Finders Keepers,POINT (422.26132090356896 -245.26161187338153)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Freya_Be_Praised_Pin_697p0_m115p0,Freya Be Praised,POINT (394.5846058858415 -361.7663578167793)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Freya_s_Garden_Pin_2489p0_268p0,Freya's Garden,POINT (590.618887750536 -319.86840692821465)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Fyresdal_harbor_Pin_433p0_m795p0,Fyresdal harbor,POINT (365.7045554325606 -436.1543646163197)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Herbalist_in_Kaer_Trolde_Pin_m23p0_572p0,Herbalist in Kaer Trolde,POINT (315.82083192234813 -286.61259212371425)
http://cgi.di.uoa.gr/witcher/resource/Skellige_HighlightedByMedalionFX_Pin_m60p0_602p0,HighlightedByMedalionFX,POINT (311.7732490936686 -283.33076829432275)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Innkeeper_in_Arinbjorn_Pin_m597p0_m271p0,Innkeeper in Arinbjorn,POINT (253.02860101256317 -378.83184172961506)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Innkeeper_in_Harviken_Pin_1717p0_m1937p0,Innkeeper in Harviken,POINT (506.1666190007903 -561.0824583884889)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Innkeeper_in_Kaer_Trolde_Pin_m54p0_626p0,Innkeeper in Kaer Trolde,POINT (312.4296138766977 -280.7053092308096)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Innkeeper_in_Larvik_Pin_2790p0_63p0,Innkeeper in Larvik,POINT (623.5465210324965 -342.29420309572316)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Innkeeper_in_Svorlag_Pin_m1655p0_1381p0,Innkeeper in Svorlag,POINT (137.28961093842992 -198.11274285779052)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Innkeeper_in_Urialla_Harbor_Pin_1534p0_1922p0,Innkeeper in Urialla Harbor,POINT (486.14749311840245 -138.93051980109735)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Kaer_Trolde_armorer_Pin_m143p0_750p0,Kaer Trolde armorer,POINT (302.6935362617659 -267.1404374026581)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Merchant_at_Holmstein_s_Port_Pin_m304p0_m1050p0,Merchant at Holmstein's Port,POINT (285.0810812504848 -464.04986716614735)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Merchant_in_Blandare_Pin_638p0_27p0,Merchant in Blandare,POINT (388.13035218605523 -346.2323916909929)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Merchant_in_Fayrlund_Pin_70p0_m152p0,Merchant in Fayrlund,POINT (325.99448605929933 -365.8139405396955)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Merchant_in_Fyresdal_Pin_406p0_m733p0,Merchant in Fyresdal,POINT (362.7509139089296 -429.37192870224396)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Merchant_in_Larvik_Pin_2767p0_59p0,Merchant in Larvik,POINT (621.0304560308848 -342.7317796063087)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Never_Trust_Children_II_Pin_m467p0_m304p0,Never Trust Children II,POINT (267.2498379781939 -382.4418479419457)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Pali_Gap_Coast_Pin_m2199p0_366p0,Pali Gap Coast,POINT (77.77920394379052 -309.14778241886916)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Repair_Table_Pin_2736p0_70p0,Repair Table,POINT (617.6392379852343 -341.5284442021985)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_1236p0_m746p0,Skellige harbors,POINT (453.5480422279566 -430.79405236164695)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_1247p0_m9p0,Skellige harbors,POINT (454.75137766350997 -350.17058028626275)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_1498p0_1820p0,Skellige harbors,POINT (482.2093044202278 -150.0887208210284)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_1797p0_m1856p0,Skellige harbors,POINT (514.9181494411785 -552.221534049132)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_2791p0_126p0,Skellige harbors,POINT (623.6559151630013 -335.40237305400103)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_629p0_m866p0,Skellige harbors,POINT (387.1458050115115 -443.9213476792129)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_96p0_83p0,Skellige harbors,POINT (328.8387334524255 -340.1063205427955)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_m149p0_570p0,Skellige harbors,POINT (302.0371714787368 -286.83138037900704)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_m1523p0_m537p0,Skellige harbors,POINT (151.72963616507036 -407.9306796835529)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_m1554p0_1419p0,Skellige harbors,POINT (148.33841811941997 -193.95576600722796)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_m2236p0_390p0,Skellige harbors,POINT (73.73162111511101 -306.522323355356)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_m395p0_m1046p0,Skellige harbors,POINT (275.1262153745432 -463.6122906555618)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_m671p0_m158p0,Skellige harbors,POINT (244.93343535520415 -366.4703053055738)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_harbors_Pin_m871p0_191p0,Skellige harbors,POINT (223.05460925423375 -328.29175475698617)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Skellige_s_Most_Wanted_Pin_373p0_m698p0,Skellige's Most Wanted,POINT (359.14090760226946 -425.54313423462054)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Trader_in_Svorlag_Pin_m1611p0_1383p0,Trader in Svorlag,POINT (142.1029526806434 -197.89395460249773)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Whetstone_Pin_1735p0_m1924p0,Whetstone,POINT (508.1357133498777 -559.660334729086)
http://cgi.di.uoa.gr/witcher/resource/Skellige_Worthy_of_Trust_II_Pin_370p0_m703p0,Worthy of Trust II,POINT (358.81272521075493 -426.09010487285246)
http://cgi.di.uoa.gr/witcher/resource/Skellige_ard_skellig_pop_aard_Pin_1319p0_236p0,ard_skellig_pop_aard,POINT (462.6277550598593 -323.36901901289895)
http://cgi.di.uoa.gr/witcher/resource/Skellige_ard_skellig_pop_axii_Pin_m312p0_m766p0,ard_skellig_pop_axii,POINT (284.20592820644595 -432.9819349145746)
http://cgi.di.uoa.gr/witcher/resource/Skellige_arinbjorn_noticeboard_Pin_m612p0_m289p0,arinbjorn_noticeboard,POINT (251.3876890549904 -380.80093602725)
http://cgi.di.uoa.gr/witcher/resource/Skellige_armor_repair_table_gp_skel_01_Pin_2732p0_64p0,armor_repair_table_gp_skel_01,POINT (617.201661463215 -342.18480896807677)
http://cgi.di.uoa.gr/witcher/resource/Skellige_armor_repair_table_gp_skel_02_Pin_m1621p0_1428p0,armor_repair_table_gp_skel_02,POINT (141.0090113755949 -192.9712188584105)
http://cgi.di.uoa.gr/witcher/resource/Skellige_armor_repair_table_gp_skel_03_Pin_1512p0_1905p0,armor_repair_table_gp_skel_03,POINT (483.7408222472957 -140.79021997108586)
http://cgi.di.uoa.gr/witcher/resource/Skellige_blacksmith_whetstone_gp_skel_01_Pin_2723p0_64p0,blacksmith_whetstone_gp_skel_01,POINT (616.2171142886714 -342.18480896807677)
http://cgi.di.uoa.gr/witcher/resource/Skellige_blacksmith_whetstone_gp_skel_02_Pin_m1622p0_1427p0,blacksmith_whetstone_gp_skel_02,POINT (140.89961724509004 -193.0806129860569)
http://cgi.di.uoa.gr/witcher/resource/Skellige_blacksmith_whetstone_gp_skel_03_Pin_1511p0_1909p0,blacksmith_whetstone_gp_skel_03,POINT (483.63142811679086 -140.35264346050033)
http://cgi.di.uoa.gr/witcher/resource/Skellige_blacksmith_whetstone_gp_skel_04_Pin_273p0_191p0,blacksmith_whetstone_gp_skel_04,POINT (348.20149455178426 -328.29175475698617)
http://cgi.di.uoa.gr/witcher/resource/Skellige_blandare_notice_board_Pin_651p0_30p0,blandare_notice_board,POINT (389.5524758826183 -345.9042093080538)
http://cgi.di.uoa.gr/witcher/resource/Skellige_brokvar_notice_board_Pin_m1614p0_1388p0,brokvar_notice_board,POINT (141.77477028912884 -197.34698396426583)
http://cgi.di.uoa.gr/witcher/resource/Skellige_elven_vault_Pin_213p0_937p0,elven_vault,POINT (341.6378467214932 -246.6837355327845)
http://cgi.di.uoa.gr/witcher/resource/Skellige_fyresdal_notice_board_Pin_375p0_m695p0,fyresdal_notice_board,POINT (359.35969586327917 -425.2149518516814)
http://cgi.di.uoa.gr/witcher/resource/Skellige_holmstein_notice_board_Pin_m212p0_m1009p0,holmstein_notice_board,POINT (295.14534125693115 -459.56470793264566)
http://cgi.di.uoa.gr/witcher/resource/Skellige_kaer_trolde_village_notice_board_Pin_m39p0_550p0,kaer_trolde_village_notice_board,POINT (314.0705258342705 -289.0192629319347)
http://cgi.di.uoa.gr/witcher/resource/Skellige_larvik_notice_board_Pin_2776p0_71p0,larvik_notice_board,POINT (622.0150032054285 -341.4190500745521)
http://cgi.di.uoa.gr/witcher/resource/Skellige_lofoten_bay_Pin_2408p0_m96p0,lofoten_bay,POINT (581.757963179643 -359.68786939149805)
http://cgi.di.uoa.gr/witcher/resource/Skellige_lw_lynx_set_mp_Pin_1325p0_234p0,lw_lynx_set_mp,POINT (463.28411984288846 -323.5878072681917)
http://cgi.di.uoa.gr/witcher/resource/Skellige_lw_sk14_nest_sirens_Pin_m93p0_189p0,lw_sk14_nest_sirens,POINT (308.1632427870085 -328.5105430122789)
http://cgi.di.uoa.gr/witcher/resource/Skellige_lw_sk15_drowner_nest_Pin_90p0_157p0,lw_sk15_drowner_nest,POINT (328.1823686693964 -332.0111550969632)
http://cgi.di.uoa.gr/witcher/resource/Skellige_lw_sk_poi_107_nest_Pin_1245p0_1909p0,lw_sk_poi_107_nest,POINT (454.53258940250026 -140.35264346050033)
http://cgi.di.uoa.gr/witcher/resource/Skellige_mp_lw_sk55_treasure_hunt_Pin_1894p0_m1916p0,mp_lw_sk55_treasure_hunt,POINT (525.5293801001492 -558.785181707915)
http://cgi.di.uoa.gr/witcher/resource/Skellige_mp_lw_sk58_treasure_hunt_Pin_2137p0_m1977p0,mp_lw_sk58_treasure_hunt,POINT (552.1121538128282 -565.4582234943443)
http://cgi.di.uoa.gr/witcher/resource/Skellige_mq2006_chest1_mappin_Pin_143p0_m184p0,mq2006_chest1_mappin,POINT (333.9802575861535 -369.31455262437976)
http://cgi.di.uoa.gr/witcher/resource/Skellige_mq2006_chest2_mappin_Pin_m1477p0_m713p0,mq2006_chest2_mappin,POINT (156.76176616829355 -427.1840461493163)
http://cgi.di.uoa.gr/witcher/resource/Skellige_pop_mp_igniii_skellige_Pin_m1805p0_1459p0,pop_mp_igniii_skellige,POINT (120.88049136270214 -189.58000090137264)
http://cgi.di.uoa.gr/witcher/resource/Skellige_pop_quen_skellige_mp_Pin_1437p0_2041p0,pop_quen_skellige_mp,POINT (475.53626245943184 -125.9126186111778)
http://cgi.di.uoa.gr/witcher/resource/Skellige_pop_yrden_mp_skellige_Pin_1544p0_m1872p0,pop_yrden_mp_skellige,POINT (487.241434423451 -553.9718400914741)
http://cgi.di.uoa.gr/witcher/resource/Skellige_rannvaig_noticeboard_Pin_165p0_94p0,rannvaig_noticeboard,POINT (336.3869284572603 -338.9029851386853)
http://cgi.di.uoa.gr/witcher/resource/Skellige_sk100a_mp_skl_Pin_m1331p0_m141p0,sk100a_mp_skl,POINT (172.7333092220019 -364.6106051355853)
http://cgi.di.uoa.gr/witcher/resource/Skellige_sk100b_mp_skl_Pin_m1234p0_m265p0,sk100b_mp_skl,POINT (183.34453988097255 -378.17547696373674)
http://cgi.di.uoa.gr/witcher/resource/Skellige_sk101_mp_skl_Pin_m1034p0_m1187p0,sk101_mp_skl,POINT (205.22336598194292 -479.0368626537018)
http://cgi.di.uoa.gr/witcher/resource/Skellige_sk102_mp_skl_Pin_1525p0_m892p0,sk102_mp_skl,POINT (485.1629459438588 -446.76559499801886)
http://cgi.di.uoa.gr/witcher/resource/Skellige_sk103_mp_skellige_Pin_m2423p0_m730p0,sk103_mp_skellige,POINT (53.27491871070373 -429.04374631930483)
